dataset,pipeline,sp_amount,dimred,d,n_samples,n_clusters,silhouette_mean,silhouette_std,ari_mean,ari_std,nmi_mean,nmi_std,time_total_sec_mean,time_total_sec_std,time_dimred_sec_mean,time_dimred_sec_std,time_kmeans_sec_mean,time_kmeans_sec_std
mnist,raw,0.05,pca,2,10000,10,0.3410000304381053,0.007032036515460951,0.1797974169150305,0.03352927546695321,0.27200991925054036,0.04474464978209581,1.0304696333308432,1.243674536732513,0.30977596666586277,0.036533593552241526,0.7206936666649805,1.214771562861287
mnist,raw,0.05,pca,5,10000,10,0.22213006019592285,0.010919840228096958,0.28743859999879334,0.0037405769755019702,0.4062314801227096,0.00656164252819109,0.31281569999919157,0.015391766927418627,0.2907654333321261,0.016879397257027987,0.022050266667065443,0.0018702492256768828
mnist,raw,0.05,pca,10,10000,10,0.1663769135872523,0.007864701054474657,0.32075013847954187,0.028120628385275227,0.4377457546163542,0.012240758192935046,0.3307293999981387,0.015192180476818596,0.30181699999957345,0.01400804758594484,0.02891239999856528,0.0012116908306191653
mnist,raw,0.05,pca,20,10000,10,0.11800997207562129,0.007653260433290299,0.3428993422620805,0.03378535304145663,0.4636513339712363,0.018889009624513217,0.34030939999987214,0.01614340033448077,0.30858150000009726,0.012760542341840741,0.03172789999977491,0.003382886600530497
mnist,raw,0.05,pca,50,10000,10,0.06448668365677197,0.010618778385414291,0.32092247272850954,0.0390769470397883,0.45143334833581844,0.029125313125467973,0.3617236666674823,0.026941209674165315,0.3197754333341436,0.026066314794769334,0.04194823333333867,0.002082439955469586
mnist,raw,0.05,umap,2,10000,10,0.46076743801434833,0.01933630421891952,0.48045473540409733,0.020080766523623898,0.5929693718498356,0.014334293228018968,11.762408866668315,14.573909969329991,11.747036000001875,14.575001983464023,0.015372866666439222,0.0012591485554872685
mnist,raw,0.05,umap,5,10000,10,0.43705618381500244,0.04557139718481856,0.4709438604504362,0.02343355354772793,0.5984993712797253,0.008553208931635343,3.4371064999977534,0.07192403980036118,3.4210897333323373,0.07069655865026353,0.01601676666541607,0.0014839320143306253
mnist,raw,0.05,umap,10,10000,10,0.4383690158526103,0.05115611563587683,0.4798725639133399,0.020306234711789547,0.6004836789645656,0.012550276381813712,3.9338962666636994,0.1827806084844718,3.915416999997736,0.1842381781020456,0.018479266665963223,0.0021878638440615498
mnist,raw,0.05,umap,20,10000,10,0.4368524154027303,0.04396936889978134,0.46613690561843085,0.029583521533766078,0.5962875118149964,0.012624880862751495,4.086194866666726,0.05547122446933017,4.06595316666547,0.05526671182118192,0.020241700001254987,0.0009065049320984052
mnist,raw,0.05,umap,50,10000,10,0.4210561116536458,0.0043687865328862876,0.4822220470058318,0.027744924602510386,0.5989080439655665,0.010870297713852258,5.556059233332538,0.23149148236852346,5.525834266666304,0.23130585419099084,0.030224966666234348,0.0006380231539396263
mnist,sharpen_hog,0.05,pca,2,10000,10,0.34091976284980774,0.010775061887399245,0.17715001284535994,0.07429172545585977,0.2902443897088796,0.07973425555655303,0.1820751999997204,0.016101871527755267,0.1597485666667732,0.011057127724402899,0.022326633332947193,0.005372927561917242
mnist,sharpen_hog,0.05,pca,5,10000,10,0.22951600948969522,0.006519219439329917,0.3379262168523935,0.0057874842205492385,0.46660125954130754,0.0064230688596524695,0.20721666666819752,0.010533055186369607,0.17779026666660988,0.008180467535615587,0.029426400001587655,0.00872202980626495
